area_type,availability,location,size,bath,balcony,price,bhk,total_sqft,price_per_sqft
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,2.0,1.0,58.0,2,1020.0,5686.274509803921
Built-up  Area,Ready To Move,TC Palaya,4 Bedroom,2.0,1.0,50.0,4,2100.0,2380.9523809523807
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,1.0,80.0,2,1350.0,5925.925925925926
Super built-up  Area,Ready To Move,Anekal,2 BHK,2.0,1.0,40.0,2,925.0,4324.324324324324
Built-up  Area,Ready To Move,Yelachenahalli,4 Bedroom,3.0,1.0,220.0,4,1800.0,12222.222222222223
Built-up  Area,Ready To Move,Other,3 Bedroom,3.0,1.0,100.0,3,2000.0,5000.0
Built-up  Area,Ready To Move,Frazer Town,3 BHK,2.0,1.0,75.0,3,1510.0,4966.887417218543
Plot  Area,Ready To Move,Kasavanhalli,5 Bedroom,7.0,2.0,1200.0,5,5800.0,20689.655172413793
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,1.0,110.0,3,1614.0,6815.365551425031
Plot  Area,Ready To Move,Yeshwanthpur,3 Bedroom,2.0,1.0,130.0,3,682.0,19061.58357771261
Plot  Area,Ready To Move,Gottigere,2 Bedroom,2.0,0.0,95.0,2,1200.0,7916.666666666667
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2.0,0.0,55.0,2,900.0,6111.111111111111
Built-up  Area,Ready To Move,Bommenahalli,4 Bedroom,3.0,0.0,145.0,4,1632.0,8884.803921568628
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,2.0,2.0,65.5,2,1041.0,6292.026897214217
Built-up  Area,Ready To Move,7th Phase JP Nagar,6 BHK,7.0,2.0,450.0,6,5080.0,8858.267716535433
Super built-up  Area,18-Jul,Bannerghatta,4 BHK,6.0,2.0,250.0,4,3012.0,8300.132802124834
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3.0,2.0,74.5,3,1530.0,4869.281045751634
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,2.0,2.0,135.0,3,1450.0,9310.344827586207
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,2.0,2.0,75.0,2,1200.0,6250.0
Plot  Area,Ready To Move,Sahakara Nagar,4 Bedroom,4.0,2.0,130.0,4,1200.0,10833.333333333334
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,2.0,1.0,110.0,3,1508.0,7294.429708222811
Built-up  Area,Ready To Move,Other,7 BHK,7.0,3.0,106.0,7,600.0,17666.666666666668
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,3.0,73.0,2,1188.0,6144.781144781145
Super built-up  Area,18-May,Old Airport Road,4 BHK,4.0,3.0,199.0,4,2690.0,7397.769516728625
Super built-up  Area,Ready To Move,Harlur,2 BHK,2.0,1.0,76.0,2,1174.0,6473.594548551959
Super built-up  Area,19-Dec,Old Madras Road,3 BHK,3.0,1.0,58.99,3,1350.0,4369.62962962963
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,3.0,3.0,185.0,3,1870.0,9893.048128342247
Super built-up  Area,18-Jun,Kengeri Satellite Town,2 BHK,2.0,1.0,25.0,2,1072.0,2332.089552238806
Plot  Area,Ready To Move,Other,3 Bedroom,2.0,1.0,140.0,3,52272.0,267.82981328435875
Super built-up  Area,18-Nov,Kengeri,2 BHK,2.0,1.0,31.0,2,726.0,4269.972451790633
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,2.0,2.0,106.0,2,1345.0,7881.0408921933085
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2.0,2.0,45.0,2,1200.0,3750.0
Built-up  Area,Ready To Move,Nagavarapalya,2 BHK,2.0,0.0,37.0,2,980.0,3775.5102040816328
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2.0,1.0,77.0,2,1050.0,7333.333333333333
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2.0,1.0,39.71,2,993.0,3998.9929506545823
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2.0,2.0,52.0,3,1300.0,4000.0
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,3.0,2.0,85.0,3,1743.0,4876.649454962708
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4.0,1.0,125.0,4,1204.0,10382.059800664452
Plot  Area,Ready To Move,Hormavu,2 Bedroom,2.0,0.0,67.0,2,1200.0,5583.333333333333
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,90.0,3,1480.0,6081.081081081081
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2.0,2.0,32.5,2,950.0,3421.0526315789475
Built-up  Area,Ready To Move,Domlur,1 BHK,1.0,0.0,55.0,1,640.0,8593.75
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,2.0,1.0,44.0,2,972.0,4526.748971193416
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3.0,3.0,98.0,3,1840.0,5326.086956521739
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2.0,1.0,64.0,2,1128.0,5673.758865248227
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,0.0,42.0,2,680.0,6176.470588235294
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,1.0,95.0,2,2400.0,3958.3333333333335
Built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,42.0,2,1045.0,4019.1387559808613
Built-up  Area,Ready To Move,Other,2 BHK,2.0,3.0,53.55,2,955.0,5607.3298429319375
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,2.0,2.0,54.39,3,1360.0,3999.264705882353
Super built-up  Area,Ready To Move,BTM Layout,2 BHK,2.0,2.0,63.0,2,1150.0,5478.260869565217
Built-up  Area,19-Mar,Hennur Road,4 Bedroom,4.0,3.0,294.0,4,3450.0,8521.739130434782
Super built-up  Area,18-Oct,Other,2 BHK,2.0,2.0,56.87,2,1115.0,5100.448430493274
Super built-up  Area,Ready To Move,Jigani,2 BHK,2.0,2.0,46.0,2,920.0,5000.0
Super built-up  Area,18-Jun,Bommasandra Industrial Area,2 BHK,2.0,1.0,41.0,2,1030.0,3980.5825242718447
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3.0,1.0,101.0,3,1564.0,6457.800511508952
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2.0,1.0,45.0,2,1045.0,4306.2200956937795
Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,4.0,1.0,83.0,4,1200.0,6916.666666666667
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,2.0,2.0,55.0,2,1277.0,4306.969459671104
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,1.0,215.0,3,2479.13,8672.39717158842
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3.0,2.0,140.0,3,1846.0,7583.965330444204
Built-up  Area,Ready To Move,Other,2 BHK,2.0,0.0,106.0,2,1100.0,9636.363636363636
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,75.0,3,1690.0,4437.869822485207
Plot  Area,17-Jul,Hormavu,2 Bedroom,3.0,0.0,70.0,2,1200.0,5833.333333333333
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,4.0,0.0,131.0,4,3042.0,4306.37738330046
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3.0,3.0,223.0,3,1640.0,13597.560975609756
Built-up  Area,19-Mar,Other,2 BHK,2.0,1.0,40.05,2,1068.0,3749.9999999999995
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2.0,2.0,58.0,2,1135.0,5110.132158590309
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,120.0,3,1925.0,6233.766233766234
Super built-up  Area,Ready To Move,Begur Road,3 BHK,3.0,2.0,60.0,3,1615.0,3715.170278637771
Super built-up  Area,Ready To Move,Other,1 BHK,1.0,1.0,26.0,1,650.0,4000.0
Plot  Area,Ready To Move,Other,9 Bedroom,9.0,3.0,120.0,9,1200.0,10000.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,2.0,3.0,42.0,2,1150.0,3652.1739130434785
Plot  Area,Ready To Move,Kothannur,6 Bedroom,6.0,1.0,135.0,6,930.0,14516.129032258064
Super built-up  Area,18-Mar,Other,3 BHK,2.0,2.0,45.12,3,1410.0,3200.0
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 Bedroom,2.0,0.0,100.0,3,600.0,16666.666666666668
Super built-up  Area,18-Apr,Other,3 BHK,3.0,3.0,207.0,3,2000.0,10350.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,3.0,1.0,90.0,3,1354.0,6646.971935007386
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,0.0,110.0,2,1050.0,10476.190476190477
Built-up  Area,Ready To Move,Arekere,1 BHK,1.0,1.0,28.0,1,600.0,4666.666666666667
Plot  Area,Ready To Move,Varthur,4 Bedroom,2.0,1.0,110.0,4,1320.0,8333.333333333334
Super built-up  Area,18-May,Koramangala,3 BHK,3.0,2.0,88.0,3,1600.0,5500.0
Built-up  Area,Ready To Move,Kanakpura Road,4 Bedroom,6.0,2.0,225.0,4,3500.0,6428.571428571428
Super built-up  Area,Ready To Move,GM Palaya,2 BHK,2.0,1.0,36.0,2,1000.0,3600.0
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,1.0,38.0,3,1130.0,3362.83185840708
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2.0,1.0,67.0,2,1238.0,5411.954765751211
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,3.0,305.0,3,2204.0,13838.47549909256
Plot  Area,Ready To Move,KR Puram,8 Bedroom,12.0,2.0,110.0,8,1200.0,9166.666666666666
Super built-up  Area,18-Apr,Kudlu Gate,3 BHK,2.0,3.0,46.38,3,1364.0,3400.293255131965
Built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,45.0,2,900.0,5000.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,3.0,2.0,104.0,3,1745.0,5959.885386819485
Super built-up  Area,Ready To Move,Kogilu,2 BHK,2.0,1.0,53.33,2,1200.0,4444.166666666667
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,2.0,1.0,42.83,2,1020.0,4199.019607843137
Super built-up  Area,18-Dec,Banashankari Stage III,3 BHK,3.0,2.0,118.0,3,1650.0,7151.515151515152
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,3.0,70.0,3,1550.0,4516.129032258064
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,2.0,2.0,60.0,2,1440.0,4166.666666666667
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,2.0,2.0,45.95,3,1329.0,3457.486832204665
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,42.0,2,916.0,4585.152838427947
Super built-up  Area,Ready To Move,Hulimavu,1 BHK,1.0,2.0,50.0,1,688.0,7267.441860465116
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,50.0,3,1358.0,3681.8851251840942
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,2.0,1.0,107.0,2,1331.0,8039.068369646882
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,1.0,1.0,62.5,1,686.0,9110.787172011662
Super built-up  Area,Ready To Move,Hoodi,2 BHK,2.0,2.0,50.0,2,1050.0,4761.9047619047615
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,3.0,2.0,126.0,3,2106.0,5982.9059829059825
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,3.0,2.0,90.2,3,1718.0,5250.291036088475
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3.0,2.0,57.0,3,1530.0,3725.4901960784314
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,2.0,2.0,56.0,2,1206.0,4643.449419568822
Built-up  Area,Ready To Move,Hebbal,2 BHK,2.0,3.0,52.0,2,1075.0,4837.209302325581
Plot  Area,18-Dec,Sarjapur  Road,3 Bedroom,3.0,1.0,95.0,3,1200.0,7916.666666666667
Super built-up  Area,18-Dec,Other,3 BHK,2.0,2.0,54.21,3,1936.0,2800.103305785124
Super built-up  Area,Ready To Move,Nagavara,4 BHK,3.0,3.0,120.0,4,2172.65,5523.208984419948
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,2.0,2.0,75.0,3,1100.0,6818.181818181818
Plot  Area,Ready To Move,BTM 2nd Stage,3 Bedroom,5.0,1.0,185.0,3,1260.0,14682.539682539682
Plot  Area,Ready To Move,Other,8 Bedroom,12.0,0.0,120.0,8,990.0,12121.212121212122
Plot  Area,Ready To Move,Jalahalli East,3 Bedroom,2.0,1.0,80.0,3,800.0,10000.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2.0,3.0,29.99,2,1117.0,2684.870188003581
Built-up  Area,Ready To Move,Other,3 BHK,2.0,1.0,110.0,3,1685.0,6528.189910979228
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,2.0,1.0,37.0,2,740.0,5000.0
Plot  Area,Ready To Move,Chamrajpet,4 Bedroom,4.0,2.0,250.0,4,1080.0,23148.14814814815
Plot  Area,Ready To Move,Magadi Road,4 Bedroom,2.0,2.0,93.0,4,1500.0,6200.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,3.0,2.0,115.0,3,1800.0,6388.888888888889
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,3.0,2.0,130.0,3,1700.0,7647.058823529412
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,2.0,2.0,37.93,2,850.0,4462.35294117647
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3.0,1.0,139.0,3,1891.0,7350.608143839238
Built-up  Area,Ready To Move,Jalahalli,2 BHK,1.0,1.0,80.0,2,1400.0,5714.285714285715
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,2.0,2.0,82.0,2,1172.0,6996.587030716723
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,2.0,2.0,40.43,3,1400.0,2887.8571428571427
Built-up  Area,Ready To Move,Sonnenahalli,2 BHK,2.0,1.0,43.75,2,896.0,4882.8125
Super built-up  Area,20-Jun,Vijayanagar,2 BHK,2.0,2.0,65.0,2,1180.0,5508.474576271186
Plot  Area,Ready To Move,Basaveshwara Nagar,7 Bedroom,7.0,1.0,350.0,7,2460.0,14227.642276422765
Built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,33.0,2,850.0,3882.3529411764707
Super built-up  Area,19-Oct,Anekal,1 BHK,1.0,1.0,18.0,1,530.0,3396.2264150943397
Super built-up  Area,18-Jul,Other,3 BHK,3.0,3.0,110.0,3,1550.0,7096.774193548387
Super built-up  Area,19-Dec,Kanakapura,3 BHK,3.0,3.0,97.0,3,1699.0,5709.240729841083
Super built-up  Area,17-Oct,Bellandur,4 BHK,4.0,3.0,109.0,4,2025.0,5382.716049382716
Super built-up  Area,18-Jun,Ananth Nagar,1 BHK,2.0,2.0,14.0,1,500.0,2800.0
Built-up  Area,Ready To Move,Other,1 BHK,1.0,0.0,20.0,1,500.0,4000.0
Built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,38.5,2,1146.0,3359.5113438045373
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,4.0,3.0,332.0,3,2475.0,13414.141414141413
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2.0,1.0,145.0,2,1455.0,9965.635738831616
Plot  Area,Ready To Move,Seegehalli,2 Bedroom,1.0,0.0,50.0,2,800.0,6250.0
Super built-up  Area,Ready To Move,Abbigere,1 BHK,2.0,2.0,30.0,1,765.0,3921.5686274509803
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3.0,1.0,94.99,3,1521.0,6245.233399079553
Super built-up  Area,Ready To Move,Gottigere,3 BHK,2.0,2.0,55.0,3,1600.0,3437.5
Super built-up  Area,Ready To Move,Other,3 BHK,4.0,2.0,370.0,3,3155.0,11727.41679873217
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,4.0,2.0,240.0,3,2900.0,8275.862068965518
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,3.0,105.0,3,1765.0,5949.008498583569
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,3.0,2.0,88.0,3,1980.0,4444.444444444444
Built-up  Area,Ready To Move,Amruthahalli,3 Bedroom,3.0,1.0,135.0,3,1900.0,7105.263157894737
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,3.0,70.0,2,1265.0,5533.596837944664
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,2.0,3.0,40.0,2,1034.0,3868.4719535783365
Built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,59.0,2,1012.0,5830.0395256917
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2.0,1.0,54.0,2,1070.0,5046.728971962617
Built-up  Area,Ready To Move,Mahadevpura,4 Bedroom,4.0,1.0,230.0,4,3555.0,6469.760900140647
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3 BHK,2.0,2.0,70.0,3,1270.0,5511.811023622047
Plot  Area,Ready To Move,Yeshwanthpur,2 Bedroom,1.0,0.0,70.0,2,585.0,11965.811965811965
Super built-up  Area,Ready To Move,Other,3 BHK,4.0,3.0,154.0,3,2045.0,7530.562347188264
Super built-up  Area,Ready To Move,Bellandur,3 BHK,2.0,2.0,98.0,3,1490.0,6577.181208053691
Built-up  Area,Ready To Move,Banaswadi,7 Bedroom,6.0,1.0,830.0,7,6150.0,13495.934959349594
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,2.0,1.0,40.0,2,883.0,4530.011325028313
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,1.0,1.0,36.85,1,671.0,5491.803278688524
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,2.0,2.0,32.0,2,1156.0,2768.166089965398
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3.0,2.0,125.0,3,2017.0,6197.322756569162
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,6.0,2.0,235.0,4,3122.0,7527.226137091608
Super built-up  Area,18-Jul,Ramagondanahalli,3 BHK,3.0,1.0,62.0,3,1635.0,3792.0489296636088
Built-up  Area,Ready To Move,Other,7 Bedroom,9.0,2.0,120.0,7,4400.0,2727.2727272727275
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,2.0,1.0,89.0,2,1296.0,6867.283950617284
Plot  Area,Ready To Move,Other,6 Bedroom,4.0,2.0,280.0,6,2400.0,11666.666666666666
Super built-up  Area,Ready To Move,Budigere,2 BHK,2.0,2.0,62.0,2,1139.0,5443.371378402107
Super built-up  Area,18-Aug,CV Raman Nagar,2 BHK,3.0,2.0,47.0,2,1230.0,3821.1382113821137
Super built-up  Area,Ready To Move,Other,1 BHK,2.0,1.0,25.0,1,581.91,4296.197006409926
Super built-up  Area,19-Dec,Binny Pete,2 BHK,2.0,1.0,86.28,2,1245.0,6930.120481927711
Plot  Area,Ready To Move,Other,3 Bedroom,2.0,2.0,85.0,3,1158.0,7340.241796200346
Built-up  Area,Ready To Move,Marathahalli,4 BHK,4.0,2.0,220.0,4,3951.0,5568.2105796001015
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1.0,1.0,15.0,2,550.0,2727.2727272727275
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1 BHK,1.0,1.0,26.0,1,360.0,7222.222222222223
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3.0,1.0,55.0,3,1350.0,4074.074074074074
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,3.0,2.0,120.0,3,1670.0,7185.62874251497
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2.0,2.0,65.0,3,1600.0,4062.5
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,2.0,2.0,51.6,2,1307.0,3947.972456006121
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2.0,1.0,57.0,3,1050.0,5428.571428571428
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3.0,2.0,101.0,3,1703.0,5930.710510863182
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,2.0,1.0,58.0,3,1210.0,4793.388429752066
Built-up  Area,18-Dec,Electronic City,2 BHK,2.0,1.0,29.6,2,1025.0,2887.8048780487807
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2.0,2.0,43.0,2,1140.0,3771.9298245614036
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2.0,2.0,56.41,3,1343.0,4200.297840655249
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,3.0,2.0,85.0,3,1560.0,5448.717948717948
Super built-up  Area,17-Aug,Other,2 BHK,2.0,2.0,51.0,2,925.0,5513.513513513513
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,2.0,2.0,75.0,3,1420.0,5281.69014084507
Built-up  Area,Ready To Move,Other,2 BHK,2.0,3.0,110.0,2,1415.0,7773.851590106007
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,60.0,2,1210.0,4958.677685950413
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,3.0,2.0,160.0,3,1852.0,8639.308855291576
Super built-up  Area,Ready To Move,Hoskote,3 BHK,3.0,2.0,50.0,3,1250.0,4000.0
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,2.0,1.0,65.0,2,1100.0,5909.090909090909
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,2.0,1.0,40.25,2,1150.0,3500.0
Super built-up  Area,20-Dec,Jakkur,2 BHK,2.0,1.0,53.35,2,1100.0,4850.0
Plot  Area,Ready To Move,Magadi Road,2 Bedroom,1.0,0.0,100.0,2,1350.0,7407.407407407408
Super built-up  Area,Ready To Move,Panathur,3 BHK,3.0,2.0,99.0,3,1546.0,6403.622250970246
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,2.0,2.0,90.0,2,1424.0,6320.224719101124
Built-up  Area,Ready To Move,Bellandur,3 BHK,3.0,1.0,68.0,3,1398.0,4864.0915593705295
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,3.0,2.0,200.0,3,1650.0,12121.212121212122
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,4.0,0.0,120.0,4,1200.0,10000.0
Super built-up  Area,Ready To Move,Brookefield,3 BHK,3.0,2.0,105.0,3,1476.0,7113.821138211382
Built-up  Area,Ready To Move,Other,2 Bedroom,2.0,1.0,70.0,2,500.0,14000.0
Super built-up  Area,18-Aug,Magadi Road,3 BHK,2.0,2.0,58.82,3,1322.0,4449.3192133131615
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,1.0,40.0,2,432.0,9259.25925925926
Built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,55.0,2,1100.0,5000.0
Super built-up  Area,Ready To Move,Other,4 BHK,5.0,2.0,600.0,4,4750.0,12631.578947368422
Built-up  Area,Ready To Move,Sarjapur,3 BHK,2.0,2.0,68.0,3,1285.0,5291.828793774319
Built-up  Area,Ready To Move,Ambalipura,2 BHK,2.0,2.0,80.0,2,1150.0,6956.521739130435
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2.0,2.0,56.0,3,1430.0,3916.083916083916
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,2.0,2.0,62.0,3,1350.0,4592.592592592592
Plot  Area,Ready To Move,Other,3 Bedroom,3.0,3.0,195.0,3,1350.0,14444.444444444445
Built-up  Area,Ready To Move,Thubarahalli,2 BHK,2.0,2.0,65.0,2,1185.0,5485.232067510548
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,3.0,2.0,67.0,3,1760.0,3806.818181818182
Plot  Area,Ready To Move,Other,4 Bedroom,5.0,2.0,350.0,4,2400.0,14583.333333333334
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,2.0,1.0,41.0,2,900.0,4555.555555555556
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,2.0,1.0,105.0,2,1297.0,8095.605242868157
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,155.0,3,1840.0,8423.91304347826
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,2.0,1.0,50.79,2,950.0,5346.315789473684
Plot  Area,Ready To Move,Chikkabanavar,5 Bedroom,4.0,1.0,70.0,5,1200.0,5833.333333333333
Carpet  Area,Ready To Move,BTM 2nd Stage,2 BHK,2.0,1.0,52.0,2,950.0,5473.684210526316
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,2.0,0.0,95.815,2,1277.5,7500.1956947162425
Super built-up  Area,18-Jan,Electronic City,3 BHK,3.0,2.0,89.0,3,1571.0,5665.1814131126675
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2.0,1.0,55.0,2,1031.0,5334.62657613967
Super built-up  Area,19-Dec,Whitefield,2 BHK,2.0,1.0,90.0,2,1485.0,6060.606060606061
Super built-up  Area,18-Dec,Ananth Nagar,2 BHK,2.0,1.0,60.0,2,1109.0,5410.279531109108
Super built-up  Area,Ready To Move,Koramangala,3 BHK,3.0,2.0,180.0,3,2200.0,8181.818181818182
Super built-up  Area,18-Apr,Whitefield,1 BHK,1.0,1.0,50.0,1,950.0,5263.1578947368425
Plot  Area,Ready To Move,Laggere,3 Bedroom,2.0,0.0,150.0,3,1200.0,12500.0
Super built-up  Area,18-Jul,Hosa Road,2 BHK,2.0,1.0,55.15,2,1161.0,4750.215331610681
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,3.0,3.0,300.0,3,2350.0,12765.95744680851
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,2.0,1.0,40.6,2,1003.0,4047.8564307078764
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,1.0,185.0,2,1350.0,13703.703703703704
Super built-up  Area,18-Jun,9th Phase JP Nagar,2 BHK,2.0,2.0,37.0,2,1080.0,3425.925925925926
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2.0,2.0,73.0,2,1255.0,5816.733067729084
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,2.0,0.0,60.0,2,1250.0,4800.0
Plot  Area,Ready To Move,Brookefield,4 Bedroom,4.0,1.0,152.0,4,1700.0,8941.176470588236
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,2.0,0.0,66.0,3,1200.0,5500.0
Built-up  Area,Ready To Move,Other,2 BHK,2.0,0.0,60.0,2,824.0,7281.553398058252
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,3.0,1.0,167.0,3,1875.0,8906.666666666666
Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,2.0,1.0,38.12,3,1320.0,2887.8787878787875
Plot  Area,Ready To Move,Kothanur,5 Bedroom,5.0,2.0,550.0,5,9600.0,5729.166666666667
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,2.0,1.0,47.0,3,1330.0,3533.8345864661655
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,3.0,2.0,56.0,3,1220.0,4590.163934426229
Super built-up  Area,18-Dec,Electronic City,3 BHK,3.0,1.0,50.0,3,1111.0,4500.450045004501
Super built-up  Area,Ready To Move,Kothannur,2 BHK,2.0,1.0,47.88,2,1197.0,4000.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,5.0,2.0,185.0,4,2519.0,7344.184200079397
Super built-up  Area,18-Aug,Other,3 BHK,2.0,1.0,100.0,3,1340.0,7462.686567164179
Plot  Area,Ready To Move,Old Madras Road,4 Bedroom,3.0,3.0,132.0,4,1450.0,9103.448275862069
Super built-up  Area,22-Jun,Hoodi,3 BHK,3.0,3.0,145.0,3,1837.0,7893.304300489929
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,4.0,2.0,245.0,4,1200.0,20416.666666666668
